sentence,label
Jordan Ellis: Understood.,0
I appreciate the clarity.,0
When does the formal PIP document get issued?,0
Rachel Kim: HR will have the document ready by end of this week.,0
You'll have 48 hours to review it with us or your union rep before signing.,0
Any questions before we wrap up?,0
"Jordan Ellis: No, I think I have what I need.",0
Thank you for being straightforward.,0
Rachel Kim: Of course.,0
We'll talk again on Thursday to schedule the first bi-weekly.,0
Nadia Rossi: Let's get into it.,0
We've got 23 items in the backlog that have been tagged as Q4 candidates.,0
We obviously can't do all of them.,0
The goal today is to walk out with a committed list of eight to ten features that go on the roadmap.,0
"Kai Thornton: Before we start voting, can we anchor on capacity?",0
Engineering is down one senior dev through mid-November — Priya is on parental leave.,0
So our sprint velocity is reduced.,0
Nadia Rossi: Good call.,0
"Ops confirmed we have roughly 14 sprints of effective engineering time for the quarter, down from our usual 18.",0
That has to drive our scope decisions.,0
Clarence Wu: Should we weight the backlog items by story points before we prioritize?,0
Nadia Rossi: Yes.,0
"Can you share the estimation sheet, Clarence?",0
Clarence Wu: Pulling it up now.,0
"So the top vote-getters from the async survey were: multi-workspace support, custom webhook triggers, PDF report export, two-factor authentication, granular role permissions, and the mobile push notifications feature.",1
Those six alone total about 94 story points.,0
"Kai Thornton: At our reduced velocity, 94 points is basically the entire quarter.",0
That doesn't leave room for anything else.,0
"Nadia Rossi: Right, so we need to cut or phase.",0
Let's go through each one.,0
Multi-workspace support — this came in as the top requested feature from enterprise customers.,0
Three accounts are actively waiting on it before expanding.,0
ARR impact if we deliver this quarter is roughly 180K.,0
Kai Thornton: It's also 28 story points.,0
It's the heaviest item on the list.,0
"Nadia Rossi: But given the ARR impact, I think it has to stay.",0
Group: Agreed.,0
Nadia Rossi: Two-factor authentication — we've been promising this for two quarters.,0
We have a SOC 2 audit in January and this is a must-have for compliance.,0
Kai Thornton: That's non-negotiable.,0
"12 points, two sprints.",0
Nadia Rossi: Keeps.,0
PDF report export — customer success flagged this as their top support ticket driver.,1
Customers are doing this manually in Excel.,0
Clarence Wu: 8 points.,0
Relatively straightforward.,0
Nadia Rossi: Keeps.,0
Custom webhook triggers — this is more of a developer power user feature.,0
How strong is the demand signal?,0
Kai Thornton: We have 47 upvotes in the feature portal.,0
But the users requesting it are mostly on the growth plan.,0
It doesn't drive enterprise expansion.,0
Nadia Rossi: Let's phase that to Q1.,0
Granular role permissions — also compliance-adjacent and several enterprise customers have asked.,0
Clarence Wu: It's 18 points though.,0
That's heavy.,0
Nadia Rossi: Can we scope down?,0
Like a V1 that just covers admin vs editor vs viewer?,0
Kai Thornton: Probably 10 points for a scoped V1.,0
"Yeah, that's doable.",0
Nadia Rossi: Do that.,0
Mobile push notifications — where's this coming from?,0
Clarence Wu: Customer success pitched it but the data doesn't support it.,0
Our mobile usage is 11 percent of sessions.,0
I think we deprioritize.,0
"Nadia Rossi: Agreed, move to backlog.",0
"So our committed Q4 roadmap is: multi-workspace support, 2FA, PDF report export, and scoped role permissions V1.",1
"That's 58 story points, which is realistic and leaves buffer.",0
Kai Thornton: I want to make sure we reserve at least 2 sprints for technical debt and bug fixing.,0
We've been deferring that and it's starting to show in our error rates.,0
Nadia Rossi: Absolutely.,0
Two sprints protected for maintenance.,0
I'll have the formal roadmap document published in Notion by Monday and will send a summary to the exec team.,0
Gregory Howell: Good morning.,0
I want to be transparent upfront — this review is being driven by a directive from the board.,0
They want to see a 15 percent reduction in operating expenses for fiscal year 2025.,0
That's roughly 2.3 million dollars against our current opex baseline.,0
Fatima Al-Hassan: That's a significant ask.,0
Have they specified which cost centers are in scope?,0
Gregory Howell: Everything except R&D and customer-facing headcount.,0
They want to protect the product and support functions.,0
Niall Burgess: What's the timeline?,0
Gregory Howell: They want a plan presented at the board meeting on November 12th.,0
We have about five weeks.,0
Fatima Al-Hassan: Okay.,0
Let me share where I see the biggest opportunities.,0
"First, SaaS tools.",0
We did an audit last quarter and found we're paying for 94 distinct software subscriptions across the company.,0
"Of those, 31 had fewer than 10 percent active usage over the past six months.",0
Consolidating or canceling those represents about 340K in annual savings.,0
Niall Burgess: We should be careful about which ones — some of those low-usage tools may be critical for specific workflows even if they're rarely touched.,0
We shouldn't cancel blindly.,0
Fatima Al-Hassan: Agreed.,0
The plan is to send a usage verification survey to department heads.,0
Anything that can't justify its spend gets cut in 30 days.,0
Gregory Howell: Good.,0
Fatima Al-Hassan: Cloud infrastructure.,0
We've been overprovisioned on compute since the spike we anticipated for the product launch last March — that spike never fully materialized.,0
Our cloud ops team estimates we could right-size our EC2 reservations and save about 180K annually.,1
Niall Burgess: That one's pretty clean.,0
"No headcount impact, just a resource allocation change.",0
Gregory Howell: Approved.,0
Let's action that this month.,0
What's the third area?,0
Fatima Al-Hassan: This is the harder one — vendor contract renegotiation.,1
Our three largest non-headcount vendors renew in Q1.,0
"If we engage now and signal we're willing to consolidate or switch, we may have leverage.",0
I'd estimate 15 to 20 percent savings on those contracts — that's roughly 500 to 650K.,0
Niall Burgess: Do we have the bandwidth to run competitive RFPs before Q1?,0
Fatima Al-Hassan: Not full RFPs — but I can engage our current vendors with benchmark data and let them know we're evaluating alternatives.,0
Even the threat of switching tends to generate goodwill pricing.,0
Gregory Howell: Make that happen.,0
"Niall, I'd like legal to review the termination clauses in those contracts before we start negotiations.",0
Niall Burgess: I'll have a summary of the key clauses back to you by Friday.,0
"Gregory Howell: Between SaaS consolidation, cloud right-sizing, and vendor renegotiation, we're looking at roughly 1 to 1.2 million.",1
We're still 1.1 million short of the 2.3 million target.,0
"Fatima Al-Hassan: The remaining gap is almost certainly going to require some headcount discussion — not necessarily layoffs, but we might need to look at hiring freeze extensions, deferred backfill timelines, and contractor reduction.",0
Gregory Howell: I'm not ready to go there yet.,0
Let me take the three clean levers to the board as Phase 1 and see if they'll accept a phased approach.,0
Can everyone have their inputs to the budget model by next Wednesday?,0
Fatima Al-Hassan: Yes.,0
Niall Burgess: I'll have the contract analysis done by Friday and the headcount cost breakdown by Wednesday.,0
Gregory Howell: Thank you both.,0
I'll circulate a draft board presentation for review before we finalize.,0
"Suki Yamamoto: Alright, the reason we're here is to align on the go-to-market campaign for the multi-workspace feature.",1
Engineering has confirmed general availability on October 15th.,0
That gives us roughly three weeks to prepare.,0
Brendan Lyle: Three weeks is tight for a feature of this size.,0
This is the most requested enterprise feature we've shipped in 18 months.,0
Suki Yamamoto: Agreed.,0
So let's make sure we're prioritizing quality over volume.,0
What channels are we committing to?,0
"Brendan Lyle: Based on last quarter's conversion data, email is our strongest channel for feature announcements — 4.2 percent CTR on product update emails versus our benchmark of 1.8 percent.",0
I'd lead with a segmented email campaign targeting our enterprise and growth plan customers.,0
Cleo Hartman: I want to make sure we're also doing an in-app announcement.,0
Users who discover features organically within the product have 40 percent higher adoption rates in our data.,0
A contextual banner or tooltip in the workspace settings panel would be low-lift for engineering and high-impact.,0
Suki Yamamoto: What's the engineering cost for the in-app banner?,0
Cleo Hartman: I already checked with Dev — he said two hours if we use the existing announcement module.,0
So basically free.,0
Suki Yamamoto: Done.,0
"Brendan, what's the email segmentation plan?",0
Brendan Lyle: Three segments: enterprise customers on the waitlist for this feature — they get a personalized launch email with a dedicated onboarding guide.,0
Growth plan customers who are multi-team companies — they get a feature announcement with an upgrade prompt if they hit workspace limits.,0
And a general announcement to the full list.,0
Suki Yamamoto: Love that.,0
What about content?,0
Do we have case study material?,0
Brendan Lyle: Not yet — this is a new feature.,0
But we have three customers who were in the beta.,0
I've reached out to Harborside Tech and they're willing to do a quote.,0
The other two haven't responded yet.,0
Cleo Hartman: Can we do a launch blog post featuring Harborside Tech's use case?,1
"Even without a full case study, a testimonial and a few screenshots is compelling.",0
"Suki Yamamoto: Yes, let's do that.",0
"Brendan, please draft the blog post by October 8th so we have time for review before launch.",0
Brendan Lyle: I'll need some technical talking points from product.,0
Can someone from Nadia's team provide a feature brief by October 5th?,0
Suki Yamamoto: I'll ask Nadia today.,0
What about paid amplification?,0
"Brendan Lyle: I'd recommend a small LinkedIn campaign targeting operations and IT managers at companies with 200 to 1,000 employees.",0
"Budget request: 8,000 dollars over two weeks post-launch.",0
Suki Yamamoto: That's within our discretionary budget.,0
Anything on PR?,0
Cleo Hartman: I think this is worth a press release and a pitch to three or four SaaS-focused journalists.,0
The angle is: enterprise-grade collaboration coming to what was previously a single-workspace tool.,0
It's a meaningful positioning shift.,0
Suki Yamamoto: Great angle.,0
Let's do it.,0
"Cleo, draft the press release by October 6th.",0
Cleo Hartman: On it.,0
"Suki Yamamoto: Okay, summary: email campaign, in-app announcement, launch blog post, LinkedIn paid campaign, and press release.",1
Launch date is October 15th.,0
I'll send a project brief to the team in Asana today with all ownership and deadlines.,0
Sandra Voss: Thanks everyone for joining on short notice.,0
The urgency here is that our security team flagged a potential issue with the Nexion Analytics data processing agreement during a routine vendor audit.,0
I've reviewed the contract and I want to walk you through the concern.,0
Michael Tran: Nexion is our third-party analytics vendor — they process behavioral event data from our product.,0
"That data includes user IDs, session metadata, and feature interaction logs.",0
Sandra Voss: Right.,0
The DPA we signed in 2021 was drafted under GDPR Article 28 requirements.,0
"The issue is that Nexion updated their subprocessor list six months ago to include two new entities — one based in South Korea, one in Brazil.",1
"Under our DPA, they're required to notify us of subprocessor changes and give us 30 days to object.",0
They did not do that.,0
Rohan Desai: That's a compliance breach on their part.,0
Does this create liability for us?,0
Sandra Voss: Potentially.,0
"If EU regulators were to audit us, the fact that personal data was transferred to non-EU subprocessors without adequate safeguards documented in our DPA could be a problem.",0
"South Korea has an adequacy decision from the EU Commission, so that one is less concerning.",1
Brazil does not.,1
Michael Tran: What's the immediate risk?,0
Are we talking about enforcement action?,0
Sandra Voss: Not imminent.,0
"But if we have a breach or a subject access request that involves data touched by Nexion, we could be exposed.",0
I want to remediate this proactively.,0
Rohan Desai: What's the remediation path?,0
Sandra Voss: Two options.,0
Option one: we amend the DPA to formally include the subprocessors with appropriate transfer mechanisms — standard contractual clauses for Brazil.,0
Option two: we require Nexion to cease passing data to the Brazilian entity within 30 days or face termination.,0
Michael Tran: What does Nexion's Brazilian entity actually do?,0
Is it processing that we can route around?,0
"Sandra Voss: According to their documentation, the Brazilian entity provides infrastructure support for their South American data centers.",0
"If we configure our Nexion account to route data only through EU infrastructure, the Brazilian entity wouldn't be in scope.",0
Rohan Desai: Is that configuration option available to us?,0
Sandra Voss: Nexion's CSM told security that it is available on enterprise plans.,0
We're on the business plan.,0
I need to find out if we can get that toggle.,0
Michael Tran: I'll reach out to our Nexion account manager today and find out.,0
"If it's available at our tier, that's the cleanest solution.",0
Sandra Voss: Good.,0
"In parallel, I'm going to formally notify Nexion of the DPA breach in writing and request a signed amendment to the agreement adding both subprocessors with appropriate transfer mechanisms.",0
We need that documentation regardless of whether we route around the Brazilian entity.,0
Rohan Desai: Should we pause data transmission to Nexion in the meantime?,0
Sandra Voss: That would create product impact — we lose behavioral analytics entirely.,0
I don't think the risk level justifies that disruption right now.,0
But I want us to be in remediation mode with a clear paper trail.,0
Michael Tran: Agreed.,0
How long before you expect the DPA amendment to be finalized?,0
"Sandra Voss: If Nexion cooperates, three to four weeks.",0
"If they push back, this could become a termination conversation.",0
Rohan Desai: Understood.,0
Let's put a 30-day deadline in the formal notice.,0
Sandra Voss: That's the plan.,0
I'll send the notice to Nexion's legal team by end of day tomorrow and CC this team on the correspondence.,0
Elaine Drost: I want to start by framing what this conversation is and isn't.,0
We are not making a go or no-go decision today.,0
This is a feasibility review.,0
By the end we should have a clearer sense of which APAC markets warrant deeper analysis and what our go-to-market model should look like if we proceed.,0
James Okonkwo: Understood.,0
"From a market sizing perspective, I've been looking at three primary candidates: Japan, Australia, and Singapore.",1
"Australia is the most straightforward — English-language, similar business culture, strong SaaS adoption.",0
"TAM for our category in Australia is approximately 180 million USD, with annual growth of 14 percent.",0
Elaine Drost: What's our current organic presence there?,0
"James Okonkwo: We have 23 self-serve customers in Australia — all inbound, no sales activity.",0
Revenue is roughly 60K ARR.,0
It's a proof point that there's demand without any investment.,0
Grace Ip: Singapore is interesting from a different angle — it's a hub for regional HQs.,0
"If we land well with multinational firms in Singapore, it can cascade to their APAC subsidiaries.",0
The market itself is small but the strategic value is disproportionate.,0
"Elaine Drost: Japan is the most complex, right?",0
James Okonkwo: Significantly.,0
Language localization is a major requirement — our product would need full Japanese UI.,0
Business norms around vendor relationships require a long trust-building cycle.,0
And the market prefers local partners or distributors over direct foreign vendors for software.,0
It would be a three-year investment before meaningful revenue.,0
Elaine Drost: So Japan is a longer-term play.,0
"For the near term, I'm hearing Australia and Singapore.",1
Grace Ip: That's my read.,0
And the question is: do we go direct or through a channel partner?,0
"James Okonkwo: For Australia, I'd recommend a direct model.",0
"The market is transparent, we speak the same business language, and our existing inbound base shows we can acquire customers without feet on the ground.",0
We'd need one regional account executive based in Sydney.,0
"Grace Ip: For Singapore, a hybrid might make more sense — a regional sales lead plus a channel partner who has existing relationships with the multinational firms we want to target.",0
Elaine Drost: What's the cost to stand up the Australia direct model?,0
"James Okonkwo: One AE in Sydney — burdened cost of approximately 180,000 AUD.",0
"Some localization costs for billing and compliance — maybe 40,000 USD one-time.",0
"Marketing localization — another 20,000 for the first year.",0
So roughly 200 to 250K USD in year one investment.,1
Elaine Drost: What's the payback horizon?,0
James Okonkwo: If we can close 8 to 10 new mid-market accounts — which is a realistic year one target for a focused AE — we're looking at break-even in month 18 to 24.,0
Grace Ip: That's a reasonable IRR for market entry at our stage.,0
Elaine Drost: Okay.,0
Here's what I'd like to do.,0
"James, can you build out a full business case for Australia — market entry model, cost structure, revenue projections, risk factors — and present it to the executive team at the November strategy offsite?",0
James Okonkwo: Absolutely.,0
I'll have a draft to you two weeks before for review.,0
"Elaine Drost: Grace, please scope out what a Singapore channel partner engagement model would look like — identify two or three potential partners and provide a preliminary assessment of fit.",0
Grace Ip: I'll have that by end of month.,0
Elaine Drost: Japan stays on the long-range radar.,0
Let's revisit in Q2 of next year as a formal planning item.,0
That gives us time to assess how Australia goes first.,0
"Petra Sandoval: Alright, so I've called this meeting because I'm genuinely worried about Clarify Corp.",0
They're one of our top ten accounts — 310K ARR — and I've been getting signals for the past six weeks that they're unhappy.,0
Dominic Faber: What kind of signals?,0
Petra Sandoval: NPS dropped from 8 to 4 in the last survey.,0
"Their primary champion, Janelle Morton, stopped joining our monthly check-ins.",0
"And last week, their IT director asked us for a full export of all their data.",0
That's usually a pre-churn behavior.,0
Dominic Faber: Has anyone spoken to Janelle directly?,0
Petra Sandoval: I reached out twice.,0
She responded once saying she was transitioning responsibilities and that I should contact someone named Owen Briggs going forward.,0
Arjun Mehta: That's a red flag — champion change midcycle usually means internal dynamics have shifted.,0
"If Janelle is no longer in the seat of power or has left the organization, we need to understand the new decision-maker.",0
Petra Sandoval: Exactly.,0
Owen Briggs is their new Head of Operations.,1
I have no relationship with him.,0
He's not a power user of our platform.,0
Arjun Mehta: What's the renewal date?,0
Petra Sandoval: February 14th.,0
So we have about four months.,0
Dominic Faber: Okay.,0
What do we know about the underlying dissatisfaction?,0
"Is there a product issue, a support issue, or is this political?",0
"Petra Sandoval: Based on the last QBR notes from August, their biggest complaint was around our reporting module — specifically, they can't slice data by department without a manual export.",0
That was on our roadmap and we pushed it to Q2 of next year.,0
Arjun Mehta: That's unfortunate timing.,0
"They surfaced a need, we validated it as coming, and then we delayed it.",0
Petra Sandoval: Yeah.,0
And in the meantime one of our competitors — I believe it's Dataloop — has been in their account.,0
I found out through LinkedIn that one of their analysts connected with a Dataloop sales rep.,0
Dominic Faber: Alright.,0
We need an executive sponsor assigned to this account immediately.,0
"Petra, who's the right exec from our side?",0
Petra Sandoval: I'd recommend our VP of Customer Success — Tamara.,0
She's done well with enterprise relationship resets before.,0
Dominic Faber: Agreed.,0
I'll talk to Tamara today.,0
The goal should be an in-person or video executive meeting with Owen Briggs within the next two weeks.,0
"Arjun Mehta: We should also prepare a success plan tailored to Owen's operational lens — not product features, but business outcomes.",0
"What has our platform delivered for their team in terms of time saved, decisions enabled, cost avoided?",0
Petra Sandoval: We have the usage data.,0
I can build a value impact report by end of this week.,1
Dominic Faber: Do that.,0
And let's explore if we can pull forward any timeline on the department-level reporting.,0
Even a beta access offer signals commitment.,0
Arjun Mehta: I'll check with product today — that feature is in development.,0
Even read-only beta access might satisfy them temporarily.,0
Petra Sandoval: That would be a strong gesture.,0
"Alright — so immediate actions: Tamara as exec sponsor, executive meeting with Owen Briggs within two weeks, value impact report by Friday, and beta access exploration.",1
Dominic Faber: And we should be meeting as a team on this account weekly until the renewal is secure.,0
"Vera Lindqvist: Okay, let's get started.",0
Thank you everyone for making time.,0
"This is the post-mortem for last Thursday's production outage — 4:12 PM to 7:38 PM Pacific, approximately 3.5 hours of degraded service for roughly 62 percent of our user base.",0
"I want to approach this as a learning exercise, not a blame session.",0
Oliver Kang: The timeline is clear now that we've done the analysis.,0
"At 4:08 PM, a deployment was pushed to production for the rate limiter service.",0
The deployment passed all CI checks.,0
"At 4:12 PM, error rates on the API gateway began spiking — we went from a baseline of 0.1 percent to 34 percent error rate within four minutes.",0
Vera Lindqvist: What was the root cause?,0
Oliver Kang: The rate limiter update introduced a configuration change that set per-tenant request limits 10x lower than intended — basically a misconfigured constant.,1
"Under those limits, any tenant with normal business-hours usage immediately hit the cap and got 429 errors.",0
Sam Osei: The thing that compounded the severity was detection lag.,0
"We had alerts configured on p99 latency and 5xx errors, but 429 responses don't count as 5xx in our current alerting setup.",0
So the alert never fired.,0
Vera Lindqvist: So we had 22 minutes between the degradation starting and anyone noticing?,0
"Sam Osei: 22 minutes, correct.",0
"The first notice came from a customer support ticket, not our monitoring.",0
"Oliver Kang: Once we identified the issue at 4:34 PM, the rollback took 28 minutes because we had to go through a manual approval flow.",0
"The configuration service requires two-person authorization for rollbacks in production, which in this case meant paging the on-call engineer and their backup.",0
Vera Lindqvist: That manual approval process — is that creating unnecessary delay in time-critical situations?,0
"Oliver Kang: For configuration-only rollbacks where there's no data migration involved, I think we should have an expedited path.",0
Full rollbacks that touch schema or data — keep the two-person rule absolutely.,0
But a config rollback should be doable by a single on-call engineer.,1
Sam Osei: I agree.,0
I'd recommend we update the runbook and the authorization policy.,0
Vera Lindqvist: Agreed.,0
What about the alerting gap?,0
Sam Osei: We're adding 4xx error rate as a first-class alert metric.,0
"Specifically, if 429 error rate exceeds 5 percent of requests over a 2-minute window, we fire an alert.",0
That should have caught this within 4 minutes instead of 22.,0
Vera Lindqvist: Good.,0
And what about the deployment process itself — how do we prevent a misconfigured constant from reaching production?,0
Oliver Kang: Two things.,0
"First, we're adding a configuration validation step to the CI pipeline that checks numeric constants against expected ranges — so a rate limit that's set to 10 instead of 10,000 would fail the build.",0
"Second, we're going to require canary deployments for any change to rate limiting, quota, or billing configuration.",0
"Push to 5 percent of traffic first, monitor for 10 minutes, then promote.",0
Vera Lindqvist: Both of those are strong improvements.,0
Who owns implementation?,0
Oliver Kang: I'll own the CI validation step — 3 to 4 days of work.,0
"Sam, can you handle the canary deployment pipeline update?",0
"Sam Osei: Yes, I'll have it ready within the sprint.",0
Vera Lindqvist: We should also do a customer communication debrief.,0
Marketing sent an apology email this morning.,0
Accounts affected for more than 30 minutes will receive a 10 percent credit on their next invoice — that was already approved by finance.,0
Sam Osei: Do we know how many accounts that is?,0
Vera Lindqvist: 847 accounts.,0
Finance has the credit list.,0
"Vera Lindqvist: Alright — CI validation, canary deployments, updated alerting, and revised rollback authorization policy.",1
Let me write up the formal post-mortem document today and circulate for review by tomorrow morning.,0
Fiona Marsh: Thanks everyone.,0
This is the readout from our onboarding usability study.,0
"We ran 12 moderated sessions over two weeks — a mix of SMB and mid-market personas, all first-time users, none of whom had prior exposure to our product.",0
Tai Nguyen: What were the primary tasks you tested?,0
"Fiona Marsh: Four tasks: account setup, inviting a team member, connecting their first data source, and building their first dashboard.",1
"We measured task completion rate, time on task, and subjective difficulty rating.",0
Julia Stein: What were the findings?,0
Fiona Marsh: Starting with account setup — that went well.,0
"12 out of 12 completed it, median time 3.2 minutes, difficulty rating 1.8 out of 5.",0
No changes needed there.,0
Inviting a team member — this is where things got interesting.,0
Only 7 out of 12 completed it successfully.,0
"The other 5 all got stuck at the same point — they tried to invite via the top-right account menu, but the invite function is under Settings, not the account menu.",1
Users had a strong mental model mismatch.,0
Tai Nguyen: Did they all eventually find it?,0
Fiona Marsh: Three of the five found it after exploration.,0
Two couldn't complete the task at all without hints.,0
Julia Stein: That's a significant discoverability problem.,0
What's the fix?,0
